municipio,codigo,populacao,receita_total,op_credito,alienacao_bens,amortizacao_divida,outras_receitas_capital,juros_encargos_divida,prpc,prpcapita_max3k,eq1_prpcapita
Prefeitura Municipal de Pedra Bonita - MG,3148756,7085,19443245.71,0,35900,486569.82,0,130733.96,2652.0879,2652.0879,5.4453511
Prefeitura Municipal de Pedra do Anta - MG,3148806,3304,16175076.66,627401.91,383355,114746.08,0,30832.87,4545.6235,3000,6
Prefeitura Municipal de Pedra do Indaiá - MG,3148905,4028,17146519.97,0,7000,128402.5,0,62650.25,4207.6631,3000,6
Prefeitura Municipal de Pedra Dourada - MG,3149002,2427,15499222.18,0,0,119295,0,22797.02,6327.6187,3000,6
Prefeitura Municipal de Pedralva - MG,3149101,11596,25315577.83,0,0,2984.42,0,110.53,2182.8633,2182.8633,4.6973033
Prefeitura Municipal de Pedras de Maria da Cruz - MG,3149150,11297,23444111.99,0,22000,978377,0,255.31,1986.676,1986.676,4.3845377
Prefeitura Municipal de Pedrinópolis - MG,3149200,3672,22199111.51,0,109144.2,73842.75999999999,0,1610.88,5995.2378,3000,6
Prefeitura Municipal de Pedro Leopoldo - MG,3149309,63406,154104067.39,0,0,1148761.29,0,502310.91,2404.3938,2404.3938,5.0504718
Prefeitura Municipal de Pedro Teixeira - MG,3149408,1842,13430237.78,0,0,0,0,0,7291.1172,3000,6
Prefeitura Municipal de Pequeri - MG,3149507,3335,17026803.89,0,0,220849.38,0,0,5039.2666,3000,6
Prefeitura Municipal de Pequi - MG,3149606,4369,17235837.29,0,0,210968.83,0,2328.47,3896.2097,3000,6
Prefeitura Municipal de Perdigão - MG,3149705,10637,34030730.28,0,0,452958.74,0,142036.12,3143.3425,3000,6
Prefeitura Municipal de Perdizes - MG,3149804,15785,69293643.66,0,251072.8,975177.97,15172.26,389634.17,4286.5117,3000,6
Prefeitura Municipal de Perdões - MG,3149903,21344,61068005.71,0,0,1529239.83,0,203003.44,2779.9739,2779.9739,5.6492295
Prefeitura Municipal de Periquito - MG,3149952,7081,22008695.02,0,0,774945.28,0,0,2998.6936,2998.6936,5.9979172
Prefeitura Municipal de Pescador - MG,3150000,4302,15081820.27,0,0,148183.95,0,47771.3,3460.2197,3000,6
Prefeitura Municipal de Piau - MG,3150109,2859,15968450.02,0,120830,0,0,0,5543.064,3000,6
Prefeitura Municipal de Piedade de Caratinga - MG,3150158,8130,21654148.5,0,48600,113995.54,0,0,2643.4875,2643.4875,5.4316401
Prefeitura Municipal de Piedade de Ponte Nova - MG,3150208,4208,15920785.34,0,0,92559.8,0,0,3761.4604,3000,6
Prefeitura Municipal de Piedade do Rio Grande - MG,3150307,4684,16196058.05,363417.62,0,108333.36,0,115154.95,3332.4407,3000,6
Prefeitura Municipal de Piedade dos Gerais - MG,3150406,4954,17825693.37,0,263000,141785.6,0,70000,3502.4036,3000,6
Prefeitura Municipal de Pimenta - MG,3150505,8720,27900851.65,596308.39,0,1056886.48,0,319360.14,2973.4285,2973.4285,5.9576392
Prefeitura Municipal de Pingo-d'Água - MG,3150539,4873,17584191.49,0,0,67553,0,0,3594.6313,3000,6
Prefeitura Municipal de Pintópolis - MG,3150570,7563,23035733.19,0,0,200845.53,0,84175.96000000001,3008.1597,3000,6
Prefeitura Municipal de Piracema - MG,3150604,6566,21562987.96,0,0,193885.56,0,32887.35,3249.4998,3000,6
Prefeitura Municipal de Pirajuba - MG,3150703,5665,29181533.34,382996,540557.1800000001,760908.1899999999,0,237004.55,4812.0156,3000,6
Prefeitura Municipal de Piranga - MG,3150802,17892,35826018.64,0,456400,233368.86,0,67698.28,1960.0129,1960.0129,4.3420305
Prefeitura Municipal de Piranguçu - MG,3150901,5514,16658234.89,0,119400,5986.66,0,384806.63,2928.553,2928.553,5.8860974
Prefeitura Municipal de Piranguinho - MG,3151008,8553,21147213.79,303743.95,0,109746.86,0,50484.91,2418.2437,2418.2437,5.0725517
Prefeitura Municipal de Pirapetinga - MG,3151107,10876,32255072.86,0,0,340534.52,0,0,2934.4004,2934.4004,5.8954196
Prefeitura Municipal de Pirapora - MG,3151206,56474,174952366.59,1294324.18,0,5475257.25,0,1057257.78,2959.3357,2959.3357,5.9351721
Prefeitura Municipal de Piraúba - MG,3151305,11090,26254781.62,0,0,23363.39,0,0,2365.3218,2365.3218,4.9881825
Prefeitura Municipal de Pitangui - MG,3151404,27706,58090571.7,0,31000,1261214.2,0,170993.28,2043.8665,2043.8665,4.4757118
Prefeitura Municipal de Piumhi - MG,3151503,34306,97406272.84999999,0,0,335472.09,0,93959.92,2826.8186,2826.8186,5.7239103
Prefeitura Municipal de Planura - MG,3151602,11796,39631858.22,0,0,918176.1800000001,0,207699.98,3264.3254,3000,6
Prefeitura Municipal de Poço Fundo - MG,3151701,16903,42164181.48,131823.73,88035,123036.6,0,56326.19,2470.8608,2470.8608,5.156435
Prefeitura Municipal de Poços de Caldas - MG,3151800,164912,688492285.54,0,152555,19227548.86,137393.66,801974.0600000001,4051.6931,3000,6
Prefeitura Municipal de Pocrane - MG,3151909,8889,18968133.35,0,0,378568.41,0,0,2091.2998,2091.2998,4.551331
Prefeitura Municipal de Pompéu - MG,3152006,31612,84904411.93000001,2232595.61,501312.05,2156665.15,0,392907.04,2518.6934,2518.6934,5.2326908
Prefeitura Municipal de Ponte Nova - MG,3152105,60188,181231153.81,0,66940.5,559523.9399999999,0,47899.82,2999.8801,2999.8801,5.9998088
Prefeitura Municipal de Ponto Chique - MG,3152131,4236,15736196.57,0,0,0,0,0,3714.8718,3000,6
Prefeitura Municipal de Ponto dos Volantes - MG,3152170,12138,30002198.9,50612.77,0,141828.29,0,0,2455.9036,2455.9036,5.1325898
Prefeitura Municipal de Porteirinha - MG,3152204,38741,71329106.18000001,0,0,1023224.03,0,0,1814.7668,1814.7668,4.110476
Prefeitura Municipal de Porto Firme - MG,3152303,11178,22674266.36,265000,106500,106245.58,0,14919,1984.3981,1984.3981,4.3809061
Prefeitura Municipal de Poté - MG,3152402,16641,33567437.57,0,80450,375696.89,0,0,1989.7417,1989.7417,4.3894248
Prefeitura Municipal de Pouso Alegre - MG,3152501,145535,612342020.14,4407872.85,2302.19,1876783.16,0,1771339.78,4152.1538,3000,6
Prefeitura Municipal de Pouso Alto - MG,3152600,6210,21922329.52,0,39900,93097.64,0,55753.51,3499.771,3000,6
Prefeitura Municipal de Prados - MG,3152709,8972,21077574.29,0,108420,68864.28,0,52678.67,2323.6304,2323.6304,4.9217172
Prefeitura Municipal de Prata - MG,3152808,27637,81481714.78,674666.33,97900,1292650.55,0,384443.31,2859.6467,2859.6467,5.7762461
Prefeitura Municipal de Pratápolis - MG,3152907,8890,25241846.63,0,0,463778.96,0,39154.81,2782.7798,2782.7798,5.6537027
Prefeitura Municipal de Pratinha - MG,3153004,3543,20810026.39,0,0,0,0,0,5873.561,3000,6
Prefeitura Municipal de Presidente Bernardes - MG,3153103,5578,15778134.91,0,0,92002.00999999999,0,0,2812.1428,2812.1428,5.7005143
Prefeitura Municipal de Presidente Juscelino - MG,3153202,3827,15949888.17,38151.13,120205,64624.7,0,233.69,4109.3999,3000,6
Prefeitura Municipal de Presidente Kubitschek - MG,3153301,3059,14993492.06,0,0,60892.53,0,2584.73,4880.6846,3000,6
Prefeitura Municipal de Presidente Olegário - MG,3153400,19599,60829430.9,0,255500,32924.36,0,0,3088.9844,3000,6
Prefeitura Municipal de Alto Jequitibá - MG,3153509,8525,18483422.93,0,0,139477.89,0,587.59,2151.7134,2151.7134,4.6476436
Prefeitura Municipal de Prudente de Morais - MG,3153608,10485,25992737.03,0,0,481654.92,0,79194.22,2425.5496,2425.5496,5.084199
Prefeitura Municipal de Quartel Geral - MG,3153707,3537,18622354.52,0,144990,287406.89,0,36654.06,5132.4014,3000,6
Prefeitura Municipal de Queluzito - MG,3153806,1953,13483763.65,368262.81,0,28373.75,0,16508.62,6692.585,3000,6
Prefeitura Municipal de Raposos - MG,3153905,16390,35280656.65,803900,0,179102.44,0,54473.09,2089.2727,2089.2727,4.548099
Prefeitura Municipal de Raul Soares - MG,3154002,24368,47688790.73,0,0,267662.83,0,0,1946.041,1946.041,4.3197565
Prefeitura Municipal de Recreio - MG,3154101,10682,25329603.61,0,66150,190146.35,0,0,2347.2483,2347.2483,4.9593692
Prefeitura Municipal de Reduto - MG,3154150,7071,18061706.23,0,0,81159.5,0,0,2542.8577,2542.8577,5.271214
Prefeitura Municipal de Resende Costa - MG,3154200,11569,29521552.86,0,0,0,0,0,2551.7808,2551.7808,5.2854395
Prefeitura Municipal de Resplendor - MG,3154309,17695,44584053.62,0,0,603761.66,0,0,2485.4644,2485.4644,5.1797166
Prefeitura Municipal de Ressaquinha - MG,3154408,4848,18220947.81,0,230559.27,345934.78,0,0,3639.5325,3000,6
Prefeitura Municipal de Riachinho - MG,3154457,8283,22270042.21,0,140076.5,490204.69,0,91187.91,2601.542,2601.542,5.3647699
Prefeitura Municipal de Riacho dos Machados - MG,3154507,9665,26819703.51,0,0,270740.15,0,0,2746.9182,2746.9182,5.5965319
Prefeitura Municipal de Ribeirão das Neves - MG,3154606,325846,450009702.56,0,0,5932743.19,0,404551.6,1361.6016,1361.6016,3.3880305
Prefeitura Municipal de Ribeirão Vermelho - MG,3154705,4042,15389743.42,0,0,52639.52,0,0,3794.4343,3000,6
Prefeitura Municipal de Rio Acima - MG,3154804,10026,55976603.73,0,0,2700720.42,0,239377.27,5289.897,3000,6
Prefeitura Municipal de Rio Casca - MG,3154903,14187,40914502.28,0,106100,364243.95,0,0,2850.79,2850.79,5.7621264
Prefeitura Municipal de Rio Doce - MG,3155009,2623,24315942.24,0,444884.3,220355.4,0,152947.28,8958.3516,3000,6
Prefeitura Municipal de Rio do Prado - MG,3155108,5309,15796935.38,0,89050,43436.92,0,0,2950.5459,2950.5459,5.9211593
Prefeitura Municipal de Rio Espera - MG,3155207,5876,16789557.08,0,36400,809779.4300000001,0,0,2713.3047,2713.3047,5.5429444
Prefeitura Municipal de Rio Manso - MG,3155306,5774,16367546.38,0,16000,77284.87,0,0,2818.542,2818.542,5.7107158
Prefeitura Municipal de Rio Novo - MG,3155405,9067,22673389.35,0,0,261168.01,0,0,2471.8452,2471.8452,5.1580043
Prefeitura Municipal de Rio Paranaíba - MG,3155504,12462,58171710.69,0,0,1643223.82,0,227890.37,4517.7817,3000,6
Prefeitura Municipal de Rio Pardo de Minas - MG,3155603,30878,57665717.03,1252659.31,0,1179226.76,0,170521.9,1783.2538,1783.2538,4.0602374
Prefeitura Municipal de Rio Piracicaba - MG,3155702,14613,48334700.86,0,0,0,0,110888.98,3300.0625,3000,6
Prefeitura Municipal de Rio Pomba - MG,3155801,18001,41434629.95,0,422706.5,879749.58,0,0,2229.4414,2229.4414,4.7715592
Prefeitura Municipal de Rio Preto - MG,3155900,5531,18287245.12,0,277600.98,118165.38,0,0,3234.7639,3000,6
Prefeitura Municipal de Rio Vermelho - MG,3156007,13453,29101669.81,0,35000,494796.97,0,52619.84,2119.9177,2119.9177,4.5969543
Prefeitura Municipal de Ritápolis - MG,3156106,4862,14562273.94,0,0,0,0,0,2995.1201,2995.1201,5.9922204
Prefeitura Municipal de Rochedo de Minas - MG,3156205,2278,14348620.68,0,0,131294.41,0,59369.49,6215.082,3000,6
Prefeitura Municipal de Rodeiro - MG,3156304,7758,22157005.26,0,38240,32042.94,0,0,2846.9609,2846.9609,5.756022
Prefeitura Municipal de Romaria - MG,3156403,3650,19222737.79,0,0,0,0,0,5266.5034,3000,6
Prefeitura Municipal de Rosário da Limeira - MG,3156452,4553,19397352.27,0,61100,271109.41,0,5789.3,4186.1089,3000,6
Prefeitura Municipal de Rubelita - MG,3156502,6937,18855362.01,396000,0,99388.07000000001,0,21554.6,2643.5664,2643.5664,5.431766
Prefeitura Municipal de Rubim - MG,3156601,10354,25490642.73,0,0,340770.88,0,0,2429.0005,2429.0005,5.0897007
Prefeitura Municipal de Sabará - MG,3156700,135196,266610372.06,1216332.97,183233.99,2853614.34,0,1322217.81,1930.7892,1930.7892,4.2954416
Prefeitura Municipal de Sabinópolis - MG,3156809,15961,41621437.71,0,142100,516930.98,0,0,2566.406,2566.406,5.3087554
Prefeitura Municipal de Sacramento - MG,3156908,25819,110372811.8,0,0,348638.13,0,20150.33,4260.584,3000,6
Prefeitura Municipal de Salinas - MG,3157005,41678,76216263.69,0,87340,593550.03,0,423544.09,1802.1937,1802.1937,4.0904317
Prefeitura Municipal de Salto da Divisa - MG,3157104,7117,23097851.13,0,81900,256183.33,0,2652.92,3197.5713,3000,6
Prefeitura Municipal de Santa Bárbara - MG,3157203,30690,99497444.5,901354.1,0,90666.89,0,83245.33,3206.9788,3000,6
Prefeitura Municipal de Santa Bárbara do Leste - MG,3157252,8144,18315710.02,525999,0,303744.96,0,0,2147.0979,2147.0979,4.6402855
Prefeitura Municipal de Santa Bárbara do Monte Verde - MG,3157278,3067,15882089.27,0,40710,198115.52,0,0,5100.5098,3000,6
Prefeitura Municipal de Santa Bárbara do Tugúrio - MG,3157302,4603,15462401.12,0,0,175194.16,0,0,3321.1399,3000,6
Prefeitura Municipal de Santa Cruz de Minas - MG,3157336,8489,17085763.8,0,4961.1,0,0,0,2012.1101,2012.1101,4.4250851
Prefeitura Municipal de Santa Cruz de Salinas - MG,3157377,4359,15260981.45,0,0,82785.19,0,0,3482.0364,3000,6
Prefeitura Municipal de Santa Cruz do Escalvado - MG,3157401,4981,24282360.42,0,0,10644.41,0,0,4872.8599,3000,6
Prefeitura Municipal de Santa Efigênia de Minas - MG,3157500,4604,14873669.9,0,0,71699.10000000001,0,0,3215.0242,3000,6
Prefeitura Municipal de Santa Fé de Minas - MG,3157609,3985,15416818.12,0,16500,361453.75,0,0,3773.8682,3000,6
Prefeitura Municipal de Santa Helena de Minas - MG,3157658,6387,16211052.52,0,85950,30931.95,0,0,2519.8325,2519.8325,5.2345066
Prefeitura Municipal de Santa Juliana - MG,3157708,13165,59260053.53,1492952.15,1325471.9,103558.38,0,96990.53999999999,4272.0151,3000,6
Prefeitura Municipal de Santa Luzia - MG,3157807,217610,400346386.89,0,0,9341010.380000001,0,0,1796.8171,1796.8171,4.0818605
Prefeitura Municipal de Santa Margarida - MG,3157906,16080,33517395.83,0,0,367233.29,0,5572.03,2061.2307,2061.2307,4.5033941
Prefeitura Municipal de Santa Maria de Itabira - MG,3158003,10986,25226851.25,0,0,19560.72,0,2139.16,2294.2974,2294.2974,4.8749537
Prefeitura Municipal de Santa Maria do Salto - MG,3158102,5387,15509637.84,0,77880,281994.81,0,0,2812.282,2812.282,5.700736
Prefeitura Municipal de Santa Maria do Suaçuí - MG,3158201,14883,30764951.26,0,0,309775.92,0,18280.36,2045.0779,2045.0779,4.477643
Prefeitura Municipal de Santana da Vargem - MG,3158300,7336,20495823.91,0,47860,79837.66,0,58226.77,2768.5249,2768.5249,5.6309776
Prefeitura Municipal de Santana de Cataguases - MG,3158409,3856,15658575.18,0,0,88105.49000000001,0,0,4037.9849,3000,6
Prefeitura Municipal de Santana de Pirapama - MG,3158508,7997,18271751.07,0,0,298162.46,0,0,2247.5415,2247.5415,4.8004146
Prefeitura Municipal de Santana do Deserto - MG,3158607,4024,15906146.29,0,0,0,0,0,3952.8196,3000,6
Prefeitura Municipal de Santana do Garambéu - MG,3158706,2419,14162122.44,0,21350,0,0,0,5845.71,3000,6
Prefeitura Municipal de Santana do Jacaré - MG,3158805,4845,15439263.18,0,0,6708.26,0,0,3185.2539,3000,6
Prefeitura Municipal de Santana do Manhuaçu - MG,3158904,8849,20189965.18,0,0,70645.8,0,24115.75,2270.9011,2270.9011,4.8376551
Prefeitura Municipal de Santana do Paraíso - MG,3158953,32828,64484557.26,363756.33,34800,2465043.39,0,507596.22,1861.623,1861.623,4.1851754
Prefeitura Municipal de Santana do Riacho - MG,3159001,4280,18424621.58,0,492115.52,479006.74,0,0,4077.9204,3000,6
Prefeitura Municipal de Santana dos Montes - MG,3159100,3892,14021407.09,0,49800,821592.58,0,0,3378.7292,3000,6
Prefeitura Municipal de Santa Rita de Caldas - MG,3159209,9208,22888251.85,0,467.97,226390.07,0,0,2461.0549,2461.0549,5.1408024
Prefeitura Municipal de Santa Rita de Jacutinga - MG,3159308,5054,16886959.12,0,40000,656768.66,0,0,3203.4409,3000,6
Prefeitura Municipal de Santa Rita de Minas - MG,3159357,7097,16997732.84,197921.5,113200,270815.83,0,0,2313.0613,2313.0613,4.9048676
Prefeitura Municipal de Santa Rita de Ibitipoca - MG,3159407,3580,15072235.58,0,0,4862.73,0,0,4208.7632,3000,6
Prefeitura Municipal de Santa Rita do Itueto - MG,3159506,5719,17763972.9,0,187850,84924.19,0,0,3058.4365,3000,6
Prefeitura Municipal de Santa Rita do Sapucaí - MG,3159605,41886,90023944.09999999,0,0,358972.57,0,399.26,2140.6812,2140.6812,4.6300559
Prefeitura Municipal de Santa Rosa da Serra - MG,3159704,3377,16294548.18,0,0,136606.17,0,0,4784.7031,3000,6
Prefeitura Municipal de Santa Vitória - MG,3159803,19646,138347180.42,1433993.42,0,2952072.63,0,1365361.86,6749.2495,3000,6
Prefeitura Municipal de Santo Antônio do Amparo - MG,3159902,18553,53477632.68,1599594.17,339850,934261.67,0,84525.74000000001,2722.9775,2722.9775,5.5583649
Prefeitura Municipal de Santo Antônio do Aventureiro - MG,3160009,3664,15409312.37,0,0,324537.37,0,0,4117.0239,3000,6
Prefeitura Municipal de Santo Antônio do Grama - MG,3160108,4087,18909378.12,0,0,0,0,0,4626.7134,3000,6
Prefeitura Municipal de Santo Antônio do Itambé - MG,3160207,4040,16356492.88,247300,0,172808.51,0,57324.31,3930.4604,3000,6
Prefeitura Municipal de Santo Antônio do Jacinto - MG,3160306,11992,24962609.9,0,72630,336145.24,0,0,2047.5179,2047.5179,4.4815331
Prefeitura Municipal de Santo Antônio do Monte - MG,3160405,27938,74477520.13,0,17870,878459.08,0,327221.9,2622.019,2622.019,5.3974147
Prefeitura Municipal de Santo Antônio do Retiro - MG,3160454,7315,21318413.84,0,135460,131862.11,0,0,2877.7979,2877.7979,5.8051829
Prefeitura Municipal de Santo Antônio do Rio Abaixo - MG,3160504,1815,12389351.03,0,29020,110372.65,0,0,6749.2886,3000,6
Prefeitura Municipal de Santo Hipólito - MG,3160603,3231,14328950.32,0,0,93628.46000000001,0,0,4405.8564,3000,6
Prefeitura Municipal de Santos Dumont - MG,3160702,47560,87287617.42,0,0,1118572.3,0,0,1811.7966,1811.7966,4.105741
Prefeitura Municipal de São Bento Abade - MG,3160801,5103,17735763.29,0,53000,64210.2,0,49915.95,3442.8057,3000,6
Prefeitura Municipal de São Brás do Suaçuí - MG,3160900,3730,20032997.99,0,0,100434.6,0,57705.82,5328.3799,3000,6
Prefeitura Municipal de São Domingos das Dores - MG,3160959,5680,18003286.08,0,91850,347246.81,0,0,3092.2869,3000,6
Prefeitura Municipal de São Domingos do Prata - MG,3161007,17792,38518497.39,0,88435,936319.79,0,322873.44,2089.1899,2089.1899,4.5479674
Prefeitura Municipal de São Félix de Minas - MG,3161056,3458,17482769.3,0,0,212238.22,0,0,4994.3701,3000,6
Prefeitura Municipal de São Francisco - MG,3161106,56619,105682124.7,0,16560,5014502.91,0,0,1777.6906,1777.6906,4.0513682
Prefeitura Municipal de São Francisco de Paula - MG,3161205,6671,19094441.73,0,126760,245227.92,0,0,2806.5437,2806.5437,5.6915879
Prefeitura Municipal de São Francisco de Sales - MG,3161304,6224,28511462.18,300776.14,175247.85,594632.38,0,156011.26,4383.8037,3000,6
Prefeitura Municipal de São Francisco do Glória - MG,3161403,5114,19825504.63,0,0,54164.56,0,17240.38,3862.7493,3000,6
Prefeitura Municipal de São Geraldo - MG,3161502,11736,24310734.05,0,180459.24,267531,0,91505.53999999999,2025.4974,2025.4974,4.4464273
Prefeitura Municipal de São Geraldo da Piedade - MG,3161601,4251,16654505.71,0,0,12296.5,0,0,3914.8928,3000,6
Prefeitura Municipal de São Geraldo do Baixio - MG,3161650,3878,14564962.49,0,0,115369.95,0,500,3725.9136,3000,6
Prefeitura Municipal de São Gonçalo do Abaeté - MG,3161700,6840,27178693.26,84400,0,406304.42,0,0,3901.7527,3000,6
Prefeitura Municipal de São Gonçalo do Pará - MG,3161809,11823,28573862.52,0,202900,206336.34,0,0,2382.1895,2382.1895,5.0150733
Prefeitura Municipal de São Gonçalo do Rio Abaixo - MG,3161908,10683,183804122.53,0,0,387507.36,0,144232.82,17155.516,3000,6
Prefeitura Municipal de São Gonçalo do Sapucaí - MG,3162005,25399,57626301,0,219200,372392.83,0,243359.59,2235.968,2235.968,4.7819638
Prefeitura Municipal de São Gotardo - MG,3162104,34728,81383967.01000001,162255.86,8095.46,633381.45,0,138022.48,2316.3503,2316.3503,4.9101114
Prefeitura Municipal de São João Batista do Glória - MG,3162203,7387,31379589.27,0,0,87179.36,0,0,4236.146,3000,6
Prefeitura Municipal de São João da Lagoa - MG,3162252,4922,18733037.15,0,0,92006.21000000001,0,0,3787.2878,3000,6
Prefeitura Municipal de São João da Mata - MG,3162302,2810,14484591.19,0,96530,397953.71,0,0,4978.686,3000,6
Prefeitura Municipal de São João da Ponte - MG,3162401,25880,59641029.68,0,204223.02,1018133.88,0,0,2257.2903,2257.2903,4.8159566
Prefeitura Municipal de São João das Missões - MG,3162450,12862,27441837.15,0,1296,598223.42,0,0,2086.9475,2086.9475,4.5443926
Prefeitura Municipal de São João del Rei - MG,3162500,89832,242903053.46,0,51561.91,1236887.2,0,1910220.74,2668.363,2668.363,5.4712973
Prefeitura Municipal de São João do Manhuaçu - MG,3162559,11262,28487943.15,0,130800,326612.4,0,69870.25,2482.7439,2482.7439,5.1753793
Prefeitura Municipal de São João do Manteninha - MG,3162575,5706,17304127.13,0,0,475262.97,0,0,2949.3276,2949.3276,5.9192171
Prefeitura Municipal de São João do Oriente - MG,3162609,7853,17927936.63,0,76401.95,163933.73,0,0,2252.3369,2252.3369,4.8080597
Prefeitura Municipal de São João do Pacuí - MG,3162658,4369,15399874.38,246850,0,290777.28,0,0,3401.7502,3000,6
Prefeitura Municipal de São João do Paraíso - MG,3162708,23630,41452453.33,0,43500,536469.85,0,11318.22,1729.2072,1729.2072,3.9740751
Prefeitura Municipal de São João Evangelista - MG,3162807,16070,36370296.17,99446.14999999999,0,1008672.27,0,107293.14,2187.6094,2187.6094,4.7048697
Prefeitura Municipal de São João Nepomuceno - MG,3162906,26439,54731526.17,80800,1101230.08,265307.09,0,11888.42,2014.9136,2014.9136,4.4295545
Prefeitura Municipal de São Joaquim de Bicas - MG,3162922,29674,63477357.66,0,0,307710,0,0,2128.7878,2128.7878,4.611095
Prefeitura Municipal de São José da Barra - MG,3162948,7323,29549150.38,0,232500,57399.66,0,69.8,3995.5183,3000,6
Prefeitura Municipal de São José da Lapa - MG,3162955,22910,57707782.72,811901.24,0,922075.12,0,223550.41,2433.4463,2433.4463,5.0967879
Prefeitura Municipal de São José da Safira - MG,3163003,4303,20792307.64,0,0,90441.39,0,0,4811.0308,3000,6
Prefeitura Municipal de São José da Varginha - MG,3163102,4770,17826081.82,0,0,147611.03,0,0,3706.1785,3000,6
Prefeitura Municipal de São José do Alegre - MG,3163201,4228,15393491.56,0,0,0,0,0,3640.8447,3000,6
Prefeitura Municipal de São José do Divino - MG,3163300,3946,16261962.5,310000,220500,134018.6,0,16546.85,3948.5293,3000,6
Prefeitura Municipal de São José do Goiabal - MG,3163409,5653,18515395.88,373900,0,150361.29,0,6400,3181.4497,3000,6
Prefeitura Municipal de São José do Jacuri - MG,3163508,6650,18706796.68,0,0,502520.77,0,60787.47,2728.3442,2728.3442,5.5669208
Prefeitura Municipal de São José do Mantimento - MG,3163607,2771,13838209.16,0,2000,64015.52,0,0,4970.1167,3000,6
Prefeitura Municipal de São Lourenço - MG,3163706,45128,155569010.81,463085.73,50395,3330807.92,18.96,0,3362.0967,3000,6
Prefeitura Municipal de São Miguel do Anta - MG,3163805,7032,18723287.69,0,36300,66735.64,0,0,2647.9312,2647.9312,5.4387245
Prefeitura Municipal de São Pedro da União - MG,3163904,4911,19538891.52,0,0,89716.31,0,0,3960.3289,3000,6
Prefeitura Municipal de São Pedro dos Ferros - MG,3164001,8231,18891995.17,0,0,299898.78,0,10000,2257.5745,2257.5745,4.8164096
Prefeitura Municipal de São Pedro do Suaçuí - MG,3164100,5522,16562884.77,6911.31,0,174681.57,0,1000,2966.3694,2966.3694,5.9463854
Prefeitura Municipal de São Romão - MG,3164209,11727,29334006.76,0,0,597546.88,0,31250.9,2447.7878,2447.7878,5.1196518
Prefeitura Municipal de São Roque de Minas - MG,3164308,7092,25780674.02,1065265.35,87856,1236281.26,0,331845.17,3251.4702,3000,6
Prefeitura Municipal de São Sebastião da Bela Vista - MG,3164407,5438,25593659.14,0,220000,261569.99,0,6404.83,4616.7129,3000,6
Prefeitura Municipal de São Sebastião da Vargem Alegre - MG,3164431,2990,18510119.33,154933.39,52450,0,0,0,6121.3164,3000,6
Prefeitura Municipal de São Sebastião do Anta - MG,3164472,6355,19077153.83,0,232850,337035.58,0,93183.39,2897.5742,2897.5742,5.8367105
Prefeitura Municipal de São Sebastião do Maranhão - MG,3164506,10564,21027292.76,0,0,161432,0,0,1975.1855,1975.1855,4.366219
Prefeitura Municipal de São Sebastião do Oeste - MG,3164605,6512,33279152.69,0,58800,8383.51,0,1302.65,5099.918,3000,6
Prefeitura Municipal de São Sebastião do Paraíso - MG,3164704,70066,199971168,0,292615,3090453.18,0,1126188.93,2789.6829,2789.6829,5.6647081
Prefeitura Municipal de São Sebastião do Rio Preto - MG,3164803,1591,11977547.42,0,0,83745.92999999999,0,1051.84,7475.0156,3000,6
Prefeitura Municipal de São Sebastião do Rio Verde - MG,3164902,2239,19197791.39,0,0,264025.44,0,19537.16,8447.623,3000,6
Prefeitura Municipal de São Tiago - MG,3165008,11046,27188508.18,0,1875,51189.04,0,44267.84,2452.5779,2452.5779,5.1272879
Prefeitura Municipal de São Tomás de Aquino - MG,3165107,7222,24197294.08,0,24800,443802.27,0,43915.58,3279.5315,3000,6
Prefeitura Municipal de São Tomé das Letras - MG,3165206,7072,17643512.45,318800,90810,313059.67,0,17008.1,2390.248,2390.248,5.0279207
Prefeitura Municipal de São Vicente de Minas - MG,3165305,7614,22428136.3,594000,0,0,0,0,2867.6301,2867.6301,5.7889733
Prefeitura Municipal de Sapucaí-Mirim - MG,3165404,6850,20442383.36,11599.12,172500,207033.24,0,80967.49000000001,2915.3699,2915.3699,5.8650808
Prefeitura Municipal de Sardoá - MG,3165503,6142,17223777.43,0,0,54768.58,0,0,2795.345,2795.345,5.6737347
Prefeitura Municipal de Sarzedo - MG,3165537,30478,106276300.51,686393.98,0,419260.86,0,255229.98,3442.3328,3000,6
Prefeitura Municipal de Setubinha - MG,3165552,12060,23657278.63,0,22500,131269.78,0,1212.61,1948.7808,1948.7808,4.3241239
Prefeitura Municipal de Sem-Peixe - MG,3165560,2794,15107048.78,0,105200,277843.97,0,76568.61,5242.4609,3000,6
Prefeitura Municipal de Senador Amaral - MG,3165578,5429,18055215.59,0,127100.1,109735.46,0,50059.93,3272.8533,3000,6
Prefeitura Municipal de Senador Cortes - MG,3165602,2048,13502412.97,0,140950,88532.12,0,0,6480.9233,3000,6
Prefeitura Municipal de Senador Firmino - MG,3165701,7747,20500230.45,0,51000,104046.09,0,0,2626.2017,2626.2017,5.4040828
Prefeitura Municipal de Senador José Bento - MG,3165800,1703,12740445.98,0,82400,6137.67,0,0,7429.1885,3000,6
Prefeitura Municipal de Senador Modestino Gonçalves - MG,3165909,4446,16146696.96,0,79200,217855.22,0,20739.23,3560.2571,3000,6
Prefeitura Municipal de Senhora de Oliveira - MG,3166006,5886,17201685.9,0,0,178206.7,0,0,2892.1982,2892.1982,5.8281403
